№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
114;https://viatec.ua/catalog/microphone/0:0;prom;prom_;0,999;1.31;140905382;Безопасность и комфорт;6371204;https://prom.ua/Mikrofony;V, VMAX, noindex;;Тип устройства;;Зовнішні мікрофони
115;https://viatec.ua/catalog/keyboard/0:0;site;;0,85;1,2;4321341;Комплектующие для видеонаблюдения;301110;https://prom.ua/Pulty-dlya-sistem-videonablyudeniya;V;;Тип устройства;;Пульти управління
116;https://viatec.ua/catalog/keyboard/0:0;prom;prom_;0,999;1.2;140905382;Безопасность и комфорт;301110;https://prom.ua/Pulty-dlya-sistem-videonablyudeniya;V, Vmin, noindex;;Тип устройства;;Пульти управління
117;https://viatec.ua/catalog/CCTV-IR/0:0;site;;0,85;1,2;4321341;Комплектующие для видеонаблюдения;150401;https://prom.ua/Naruzhnoe-osveschenie;V;;Тип устройства;;Прожектори інфрачервоні
118;https://viatec.ua/catalog/CCTV-IR/0:0;prom;prom_;0,999;1.32;140905382;Безопасность и комфорт;150401;https://prom.ua/Naruzhnoe-osveschenie;V, Vmin, noindex;;Тип устройства;;Прожектори інфрачервоні
119;"https://viatec.ua/catalog/mounting-kit/0:0;analog:perehidnik,perehidnik-antena,poc-peredatchik";site;;0,85;1,2;4321341;Комплектующие для видеонаблюдения;6371809;https://prom.ua/Priemniki-i-peredatchiki-signala;V;;Тип устройства;;Перехідники та балуни
120;"https://viatec.ua/catalog/mounting-kit/0:0;analog:perehidnik,perehidnik-antena,poc-peredatchik";prom;prom_;0,85;1.25;140905382;Безопасность и комфорт;6371809;https://prom.ua/Priemniki-i-peredatchiki-signala;V, Vmin, noindex;;Тип устройства;;Перехідники та балуни
121;"https://viatec.ua/catalog/mounting-kit/0:0;analog:rozem-zhivlennia,konektor-bnc,konektor-ff,konektor-rca";site;;0,85;1,2;4321341;Комплектующие для видеонаблюдения;14190406;https://prom.ua/Razemy-i-konnektory;V;;Тип устройства;;Конектори і роз'єми
122;"https://viatec.ua/catalog/mounting-kit/0:0;analog:rozem-zhivlennia,konektor-bnc,konektor-ff,konektor-rca";prom;prom_;0,85;1.25;140905382;Безопасность и комфорт;14190406;https://prom.ua/Razemy-i-konnektory;V, Vmin, noindex;;Тип устройства;;Конектори і роз'єми
123;"https://viatec.ua/catalog/mounting-kit/0:0;analog:patchkord-komb,rozgal-zhivlennia,podovzhen-zhivlennia";site;;0,85;1,2;4321341;Комплектующие для видеонаблюдения;63719;https://prom.ua/Audio-video-kabeli-perehodniki-razemy;V;;Тип устройства;;Кабелі для живлення
124;"https://viatec.ua/catalog/mounting-kit/0:0;analog:patchkord-komb,rozgal-zhivlennia,podovzhen-zhivlennia";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;63719;https://prom.ua/Audio-video-kabeli-perehodniki-razemy;V, Vmin, noindex;;Тип устройства;;Кабелі для живлення
125;"https://viatec.ua/catalog/mounting-kit/0:0;analog:pidsiluvach-hdmi,hdmi-spliter,podovzhuvach-vga";site;;0,85;1,2;4321341;Комплектующие для видеонаблюдения;6371808;https://prom.ua/Kommutator-signala;V;;Тип устройства;;HDMI, VGA підсилювачі
126;"https://viatec.ua/catalog/mounting-kit/0:0;analog:pidsiluvach-hdmi,hdmi-spliter,podovzhuvach-vga";prom;prom_;0,85;1.29;140905382;Безопасность и комфорт;6371808;https://prom.ua/Kommutator-signala;V, Vmin, noindex;;Тип устройства;;HDMI, VGA підсилювачі
127;https://viatec.ua/catalog/lens/0:0;site;;0,85;1,2;4321341;Комплектующие для видеонаблюдения;301106;https://prom.ua/Obektivy-dlya-kamer-videonablyudeniya;V;;Тип устройства;;Об'єктиви
128;https://viatec.ua/catalog/lens/0:0;prom;prom_;0,999;1.2;140905382;Безопасность и комфорт;301106;https://prom.ua/Obektivy-dlya-kamer-videonablyudeniya;V, Vmin, noindex;;Тип устройства;;Об'єктиви
129;"https://viatec.ua/catalog/vth/0:0;proizvoditel:394,395,neolight,1199,bcom,dnake";site;;0,85;1,2;4328775;Видеодомофоны;3029;https://prom.ua/Domofony-videodomofony;V;;Тип устройства;;Відеодомофон
130;"https://viatec.ua/catalog/vth/0:0;proizvoditel:394,395,neolight,1199,bcom,dnake";prom;prom_;0,9;1.31;140905382;Безопасность и комфорт;3029;https://prom.ua/Domofony-videodomofony;V, Vmin, noindex;;Тип устройства;;Відеодомофон
131;"https://viatec.ua/catalog/intercom-kits/0:0;proizvoditel:neolight,1199,dnake,bcom";site;;0,85;1,2;4328775;Видеодомофоны;3029;https://prom.ua/Domofony-videodomofony;V;;Тип устройства;;Комплекти відеодомофонів
132;"https://viatec.ua/catalog/intercom-kits/0:0;proizvoditel:neolight,1199,dnake,bcom";prom;prom_;0,9;1.31;140905382;Безопасность и комфорт;3029;https://prom.ua/Domofony-videodomofony;V, Vmin, noindex;;Тип устройства;;Комплекти відеодомофонів
133;"https://viatec.ua/catalog/vto/0:0;proizvoditel:neolight,1199,safetyeye,dnake,light-vision,emos";site;;0,85;1,2;90718784;Вызывные видеопанели;3029;https://prom.ua/Domofony-videodomofony;V;;Тип устройства;;Відеопанель кольорова виклична
134;"https://viatec.ua/catalog/vto/0:0;proizvoditel:neolight,1199,safetyeye,dnake,light-vision,emos";prom;prom_;0,9;1.31;140905382;Безопасность и комфорт;3029;https://prom.ua/Domofony-videodomofony;V, Vmin, noindex;;Тип устройства;;Відеопанель кольорова виклична
135;"https://viatec.ua/catalog/vth/0:0;proizvoditel:dahua,hikvision";site;;0,85;1,2;4328775;Видеодомофоны;3029;https://prom.ua/Domofony-videodomofony;V;;Тип устройства;;Відеодомофон
136;"https://viatec.ua/catalog/vth/0:0;proizvoditel:dahua,hikvision";prom;prom_;0,999;1.31;140905382;Безопасность и комфорт;3029;https://prom.ua/Domofony-videodomofony;V, VMAX, noindex;;Тип устройства;;Відеодомофон
137;"https://viatec.ua/catalog/intercom-kits/0:0;proizvoditel:hikvision,ezviz";site;;0,85;1,2;4328775;Видеодомофоны;3029;https://prom.ua/Domofony-videodomofony;V;;Тип устройства;;Комплекти відеодомофонів
138;"https://viatec.ua/catalog/intercom-kits/0:0;proizvoditel:hikvision,ezviz";prom;prom_;0,999;1.31;140905382;Безопасность и комфорт;3029;https://prom.ua/Domofony-videodomofony;V, VMAX, noindex;;Тип устройства;;Комплекти відеодомофонів
139;"https://viatec.ua/catalog/vto/0:0;proizvoditel:dahua,hikvision,ezviz";site;;0,85;1,2;90718784;Вызывные видеопанели;3029;https://prom.ua/Domofony-videodomofony;V;;Тип устройства;;Відеопанель кольорова виклична
140;"https://viatec.ua/catalog/vto/0:0;proizvoditel:dahua,hikvision,ezviz";prom;prom_;0,999;1.31;140905382;Безопасность и комфорт;3029;https://prom.ua/Domofony-videodomofony;V, VMAX, noindex;;Тип устройства;;Відеопанель кольорова виклична
141;https://viatec.ua/catalog/intercom/0:0;site;;0,85;1,2;4339717;Переговорные устройства;50906;https://prom.ua/Peregovornye-ustrojstva;V;;Тип устройства;;Аудіодомофон
142;https://viatec.ua/catalog/intercom/0:0;prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;50906;https://prom.ua/Peregovornye-ustrojstva;V, Vmin, noindex;;Тип устройства;;Аудіодомофон
143;"https://viatec.ua/catalog/intercom-accessories/0:0;61:243,244,559,77788,pidstavka";site;;0,85;1,2;72575633;Комплектующие для домофонов;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;V;;Тип устройства;;Кронштейни та рамки для домофонів
144;"https://viatec.ua/catalog/intercom-accessories/0:0;61:243,244,559,77788,pidstavka";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;V, Vmin, noindex;;Тип устройства;;Кронштейни та рамки для домофонів
145;"https://viatec.ua/catalog/intercom-accessories/0:0;61:1131";site;;0,85;1,2;72575633;Комплектующие для домофонов;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;V;;Тип устройства;;Аудіотрубки для домофонів
146;"https://viatec.ua/catalog/intercom-accessories/0:0;61:1131";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;V, Vmin, noindex;;Тип устройства;;Аудіотрубки для домофонів
147;"https://viatec.ua/catalog/intercom-accessories/0:0;61:241,242,558,560,1029,blok-keruvannia,adapter-domofonnii,modul-integracii,komutator,block-zhivlennia";site;;0,85;1,2;72575633;Комплектующие для домофонов;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;V;;Тип устройства;;Пристрої для підключення домофонів
148;"https://viatec.ua/catalog/intercom-accessories/0:0;61:241,242,558,560,1029,blok-keruvannia,adapter-domofonnii,modul-integracii,komutator,block-zhivlennia";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;V, Vmin, noindex;;Тип устройства;;Пристрої для підключення домофонів
149;"https://viatec.ua/catalog/mounting-kit/0:0;kabel-kanali:gnuchkii-perehid";site;;0,85;1,2;72575633;Комплектующие для домофонов;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;V;;Тип устройства;;Гнучкий перехід
150;"https://viatec.ua/catalog/mounting-kit/0:0;kabel-kanali:gnuchkii-perehid";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;V, Vmin, noindex;;Тип устройства;;Гнучкий перехід
151;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:111";site;;0,85;1,2;90906797;Тепловизоры;153729;https://prom.ua/ua/Takticheskie-teplovizory-;V;;Тип устройства;;монокуляр
152;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:111";prom;prom_;0,999;1.21;140905382;Безопасность и комфорт;153729;https://prom.ua/ua/Takticheskie-teplovizory-;V, VMAX, noindex;;Тип устройства;;монокуляр
153;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:444";site;;0,85;1,2;90906797;Тепловизоры;153729;https://prom.ua/ua/Takticheskie-teplovizory-;V;;Тип устройства;;приціл
154;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:444";prom;prom_;0,999;1.21;140905382;Безопасность и комфорт;153729;https://prom.ua/ua/Takticheskie-teplovizory-;V, VMAX, noindex;;Тип устройства;;приціл
155;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:222";site;;0,85;1,2;90906797;Тепловизоры;153729;https://prom.ua/ua/Takticheskie-teplovizory-;V;;Тип устройства;;бінокуляр
156;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:222";prom;prom_;0,999;1.21;140905382;Безопасность и комфорт;153729;https://prom.ua/ua/Takticheskie-teplovizory-;V, VMAX, noindex;;Тип устройства;;бінокуляр
157;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:cabel";site;;0,85;1,2;90906797;Тепловизоры;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;V;;Тип устройства;;кабель
158;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:cabel";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;V, Vmin, noindex;;Тип устройства;;кабель
159;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:666";site;;0,85;1,2;90906797;Тепловизоры;153729;https://prom.ua/ua/Takticheskie-teplovizory-;V;;Тип устройства;;насадка на приціл
160;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:666";prom;prom_;0,85;1.21;140905382;Безопасность и комфорт;153729;https://prom.ua/ua/Takticheskie-teplovizory-;V, Vmin, noindex;;Тип устройства;;насадка на приціл
161;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:555";site;;0,85;1,2;90906797;Тепловизоры;190407;https://prom.ua/ua/Komplektuyuschie-dlya-opticheskih-priborov;V;;Тип устройства;;кріплення
162;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:555";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;190407;https://prom.ua/ua/Komplektuyuschie-dlya-opticheskih-priborov;V, Vmin, noindex;;Тип устройства;;кріплення
163;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:333";site;;0,85;1,2;90906797;Тепловизоры;153709;https://prom.ua/ua/Termometry-pirometry-teplovizory;V;;Тип устройства;;моніторинг температури тіла
164;"https://viatec.ua/catalog/termal-handheld/0:0;tip-teplovizora:333";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;153709;https://prom.ua/ua/Termometry-pirometry-teplovizory;V, Vmin, noindex;;Тип устройства;;моніторинг температури тіла
