№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
477;39050503;https://prom.ua/ua/Tochechnye-svetilniki-;LED світильник;"led светильник, светодиодный светильник, светильник потолочный led, светильник настенный led, светильник для дома, светильник освещения, светильник универсальный, светильник современный, светильник для комнаты, светильник led внутренний";"led світильник, світлодіодний світильник, світильник стельовий led, світильник настінний led, світильник для дому, світильник освітлення, світильник універсальний, світильник сучасний, світильник для кімнати, світильник led внутрішній";led светильник;led світильник;"Виробник, Тип устройства"
478;150402;https://prom.ua/ua/Lampochki;LED лампочка;"led лампочка, светодиодная лампа, лампа led, лампа освещения led, лампа для дома led, лампа энергосберегающая, лампа стандартная led, лампа универсальная, лампа бытовая led, лампа светодиодная";"led лампочка, світлодіодна лампа, лампа led, лампа освітлення led, лампа для дому led, лампа енергозберігаюча, лампа стандартна led, лампа універсальна, лампа побутова led, лампа світлодіодна";led лампочка;led лампочка;"Виробник, Тип устройства"
479;15040606;https://prom.ua/ua/Led-podsvetka-intererov;LED стрічка;"led лента, светодиодная лента, лента led освещения, лента подсветки, лента для декора, лента светодиодная гибкая, лента rgb led, лента универсальная, лента для дома, лента освещения led";"led стрічка, світлодіодна стрічка, стрічка led освітлення, стрічка підсвітки, стрічка для декору, стрічка світлодіодна гнучка, стрічка rgb led, стрічка універсальна, стрічка для дому, стрічка освітлення led";led лента;led стрічка;"Виробник, Тип устройства"
480;14191103;https://prom.ua/ua/Promyshlennye-istochniki-pitaniya;Блок живлення для LED стрічки;"блок питания для led ленты, драйвер led ленты, адаптер для led ленты, блок питания светодиодов, блок питания 12v led, блок питания 24v led, блок питания для подсветки, блок питания универсальный, блок питания светодиодный, блок питания для освещения";"блок живлення для led стрічки, драйвер led стрічки, адаптер для led стрічки, блок живлення світлодіодів, блок живлення 12v led, блок живлення 24v led, блок живлення для підсвітки, блок живлення універсальний, блок живлення світлодіодний, блок живлення для освітлення";блок питания для led ленты;блок живлення для led стрічки;"Виробник, Тип устройства"
481;150426;https://prom.ua/ua/Led-osveschenie;Набір датчик+світильники;"набор датчик и светильники, комплект освещения с датчиком, светильник с датчиком движения комплект, набор освещения автоматический, комплект светильников с сенсором, освещение с датчиком комплект, комплект для дома освещение, набор универсальный свет, комплект освещения, набор светильников с датчиком";"набір датчик і світильники, комплект освітлення з датчиком, світильник з датчиком руху комплект, набір освітлення автоматичний, комплект світильників з сенсором, освітлення з датчиком комплект, комплект для дому освітлення, набір універсальний світло, комплект освітлення, набір світильників з датчиком";светильник с датчиком комплект;світильник з датчиком комплект;"Виробник, Тип устройства"
482;14190910;https://prom.ua/ua/Fotorele;Датчик руху/освітленості;"датчик движения, датчик освещенности, сенсор движения, датчик света, датчик для освещения, датчик автоматический, датчик для дома, датчик универсальный, датчик включения света, датчик контроль освещения";"датчик руху, датчик освітленості, сенсор руху, датчик світла, датчик для освітлення, датчик автоматичний, датчик для дому, датчик універсальний, датчик вмикання світла, датчик контроль освітлення";датчик движения;датчик руху;"Виробник, Тип устройства"
483;39050503;https://prom.ua/ua/Tochechnye-svetilniki-;Шинопровід трекових світильників;"шинопровод для трековых светильников, трек для светильников, направляющая для трековых светильников, система трекового освещения, шинопровод освещения, трековая система светильников, шина для светильников, трек освещения, шинопровод универсальный, трековый профиль";"шинопровід для трекових світильників, трек для світильників, напрямна для трекових світильників, система трекового освітлення, шинопровід освітлення, трекова система світильників, шина для світильників, трек освітлення, шинопровід універсальний, трековий профіль";шинопровод для трековых светильников;шинопровід для трекових світильників;"Виробник, Тип устройства"
484;301911;https://prom.ua/Kaski-zaschitnye;Будівельні каски;"строительная каска, защитная каска, каска безопасности, каска для стройки, каска рабочая, каска защитная строительная, каска для работы, каска промышленная, каска с креплением, каска для защиты головы";"будівельна каска, захисна каска, каска безпеки, каска для будівництва, каска робоча, каска захисна будівельна, каска для роботи, каска промислова, каска з кріпленням, каска для захисту голови";строительная каска;будівельна каска;"Виробник, Тип устройства"
485;30816;https://prom.ua/Sredstva-zaschity-ruk;Рукавиці захисні;"защитные перчатки, рабочие перчатки, перчатки для работы, перчатки строительные, перчатки защитные рабочие, перчатки для рук, перчатки промышленная защита, перчатки безопасные, перчатки для стройки, перчатки с защитой";"захисні рукавиці, робочі рукавиці, рукавиці для роботи, рукавиці будівельні, рукавиці захисні робочі, рукавиці для рук, рукавиці промисловий захист, рукавиці безпечні, рукавиці для будівництва, рукавиці з захистом";защитные перчатки;захисні рукавиці;"Виробник, Тип устройства"
486;301901;https://prom.ua/Sredstva-zaschity-organov-dyhaniya;Маски і респіратори;"респиратор, защитная маска, маска для дыхания, маска защитная, респиратор фильтрующий, маска строительная, респиратор пылезащитный, маска для лица защитная, маска от пыли, средства защиты дыхания";"респіратор, захисна маска, маска для дихання, маска захисна, респіратор фільтруючий, маска будівельна, респіратор пилозахисний, маска для обличчя захисна, маска від пилу, засоби захисту дихання";респиратор;респіратор;"Виробник, Тип устройства"
487;301908;https://prom.ua/Sredstva-zaschity-glaz;Окуляри захисні;"защитные очки, очки безопасности, очки строительные, очки для защиты глаз, очки рабочие, очки прозрачные защитные, очки от пыли, очки промышленная защита, очки защитные рабочие, очки для стройки";"захисні окуляри, окуляри безпеки, окуляри будівельні, окуляри для захисту очей, окуляри робочі, окуляри прозорі захисні, окуляри від пилу, окуляри промисловий захист, окуляри захисні робочі, окуляри для будівництва";защитные очки;захисні окуляри;"Виробник, Тип устройства"
488;3080804;https://prom.ua/Polukombinezony-rabochie;Комбінезони робочі;"рабочий комбинезон, защитный комбинезон, комбинезон рабочий, спецодежда комбинезон, комбинезон строительный, комбинезон защитный рабочий, комбинезон для работы, комбинезон промышленный, одежда рабочая защитная, комбинезон спецодежда";"робочий комбінезон, захисний комбінезон, комбінезон робочий, спецодяг комбінезон, комбінезон будівельний, комбінезон захисний робочий, комбінезон для роботи, комбінезон промисловий, одяг робочий захисний, комбінезон спецодяг";рабочий комбинезон;робочий комбінезон;"Виробник, Тип устройства"
489;121246;https://prom.ua/ua/Nabory-avtomobilnye;;"герметик силиконовый, герметик строительный, клей герметик, аэрозоль технический, спрей герметик, герметик для швов, монтажный герметик, аэрозоль смазка";"герметик силіконовий, герметик будівельний, клей герметик, аерозоль технічний, спрей герметик, герметик для швів, монтажний герметик, аерозоль мастило";герметик;герметик;Виробник
490;13240108;https://prom.ua/ua/Obogrevateli-maslyanye-bytovye;Масляний обігрівач;"масляный обогреватель, радиатор масляный, обогреватель электрический масляный, обогреватель для дома, обогреватель напольный, обогреватель с термостатом, обогреватель комнатный, обогреватель универсальный, радиатор отопления электрический, обогреватель бытовой";"масляний обігрівач, радіатор масляний, обігрівач електричний масляний, обігрівач для дому, обігрівач підлоговий, обігрівач з термостатом, обігрівач кімнатний, обігрівач універсальний, радіатор опалення електричний, обігрівач побутовий";масляный обогреватель;масляний обігрівач;"Виробник, Тип устройства"
491;61601;https://prom.ua/ua/Konvektory-elektricheskie;Конвектор;"конвектор, конвекторный обогреватель, обогреватель конвекторный электрический, конвектор для дома, конвектор настенный, конвектор напольный, обогреватель современный, конвектор с термостатом, обогреватель универсальный, конвектор отопления";"конвектор, конвекторний обігрівач, обігрівач конвекторний електричний, конвектор для дому, конвектор настінний, конвектор підлоговий, обігрівач сучасний, конвектор з термостатом, обігрівач універсальний, конвектор опалення";конвектор;конвектор;"Виробник, Тип устройства"
492;62601;https://prom.ua/ua/Obogrevateli-infrakrasnye;Обігрівач інфрачервоний;"инфракрасный обогреватель, ик обогреватель, обогреватель инфракрасный электрический, инфракрасный обогреватель для дома, обогреватель настенный ик, обогреватель потолочный ик, обогреватель экономичный, обогреватель универсальный, обогреватель современный, инфракрасное отопление";"інфрачервоний обігрівач, ік обігрівач, обігрівач інфрачервоний електричний, інфрачервоний обігрівач для дому, обігрівач настінний ік, обігрівач стельовий ік, обігрівач економічний, обігрівач універсальний, обігрівач сучасний, інфрачервоне опалення";инфракрасный обогреватель;інфрачервоний обігрівач;"Виробник, Тип устройства"
493;62611;https://prom.ua/ua/Teploventilyatory-bytovye;Тепловентилятор;"тепловентилятор, вентилятор обогреватель, обогреватель с вентилятором, тепловентилятор электрический, обогреватель быстрый нагрев, тепловентилятор для дома, обогреватель компактный, обогреватель настольный, обогреватель универсальный, тепловентилятор бытовой";"тепловентилятор, вентилятор обігрівач, обігрівач з вентилятором, тепловентилятор електричний, обігрівач швидкий нагрів, тепловентилятор для дому, обігрівач компактний, обігрівач настільний, обігрівач універсальний, тепловентилятор побутовий";тепловентилятор;тепловентилятор;"Виробник, Тип устройства"
494;13240125;https://prom.ua/ua/Komplektuyuschie-dlya-infrakrasnyh-obogrevatelej;Ніжка телескопічна для ІЧ обігрівача;"телескопическая стойка для ик обогревателя, ножка для инфракрасного обогревателя, подставка для ик обогревателя, стойка регулируемая обогреватель, держатель для инфракрасного обогревателя, штатив для обогревателя, подставка универсальная обогреватель, ножка регулируемая, стойка металлическая обогреватель, аксессуары для ик обогревателя";"ніжка телескопічна для іч обігрівача, стійка для інфрачервоного обігрівача, підставка для іч обігрівача, стійка регульована обігрівач, тримач для інфрачервоного обігрівача, штатив для обігрівача, підставка універсальна обігрівач, ніжка регульована, стійка металева обігрівач, аксесуари для іч обігрівача";стойка для ик обогревателя;ніжка для іч обігрівача;"Виробник, Тип устройства"
495;63708;https://prom.ua/Kronshtejny-dlya-audio-video-tehniki;;"кронштейн для телевизора, крепление для монитора, настенный кронштейн, держатель телевизора, кронштейн vesa, крепление для экрана, кронштейн поворотный, кронштейн наклонный";"кронштейн для телевізора, кріплення для монітора, настінний кронштейн, тримач телевізора, кронштейн vesa, кріплення для екрана, кронштейн поворотний, кронштейн нахильний";кронштейн;кронштейн;Виробник
496;6371818;https://prom.ua/ua/Gromkogovoriteli;Гучномовці аналогові;"аналоговый громкоговоритель, громкоговоритель для оповещения, рупорный громкоговоритель, уличный громкоговоритель, громкоговоритель настенный, громкоговоритель звуковой, громкоговоритель трансляционный, система оповещения громкоговоритель, громкоговоритель для помещений, акустический громкоговоритель";"аналоговий гучномовець, гучномовець для оповіщення, рупорний гучномовець, вуличний гучномовець, гучномовець настінний, гучномовець звуковий, гучномовець трансляційний, система оповіщення гучномовець, гучномовець для приміщень, акустичний гучномовець";аналоговый громкоговоритель;аналоговий гучномовець;"Виробник, Тип устройства"
497;63701;https://prom.ua/ua/Usiliteli;Підсилювачі;"усилитель звука, усилитель мощности, аудио усилитель, усилитель акустики, усилитель для колонок, усилитель трансляционный, усилитель сигнала, усилитель музыкальный, усилитель для системы озвучивания, усилитель звуковой";"підсилювач звуку, підсилювач потужності, аудіо підсилювач, підсилювач акустики, підсилювач для колонок, підсилювач трансляційний, підсилювач сигналу, підсилювач музичний, підсилювач для системи озвучування, підсилювач звуковий";усилитель звука;підсилювач звуку;"Виробник, Тип устройства"
498;6371204;https://prom.ua/ua/Mikrofony;Мікрофони;"микрофон, микрофон проводной, микрофон беспроводной, микрофон для выступлений, микрофон вокальный, микрофон настольный, микрофон для конференций, микрофон аудио, микрофон для системы оповещения, микрофон профессиональный";"мікрофон, мікрофон дротовий, мікрофон бездротовий, мікрофон для виступів, мікрофон вокальний, мікрофон настільний, мікрофон для конференцій, мікрофон аудіо, мікрофон для системи оповіщення, мікрофон професійний";микрофон;мікрофон;"Виробник, Тип устройства"
499;6371818;https://prom.ua/ua/Gromkogovoriteli;IP cистеми озвучування;"ip система озвучивания, ip аудиосистема, ip система оповещения, сетевая система озвучивания, ip трансляция звука, ip аудио оборудование, система громкой связи ip, ip акустическая система, цифровая система озвучивания, ip аудио решение";"ip система озвучування, ip аудіосистема, ip система оповіщення, мережева система озвучування, ip трансляція звуку, ip аудіо обладнання, система гучного зв'язку ip, ip акустична система, цифрова система озвучування, ip аудіо рішення";ip система озвучивания;ip система озвучування;"Виробник, Тип устройства"
500;518;https://prom.ua/ua/Akusticheskie-sistemy;Акустичні системи;"акустическая система, аудиосистема, колонки акустические, акустика для помещений, акустическая колонка, звуковая система, акустика настенная, профессиональная акустика, акустическая система для музыки, система озвучивания";"акустична система, аудіосистема, колонки акустичні, акустика для приміщень, акустична колонка, звукова система, акустика настінна, професійна акустика, акустична система для музики, система озвучування";акустическая система;акустична система;"Виробник, Тип устройства"
501;300501;https://prom.ua/Bronezhilety;;"бронеплита, плита бронежилета, защитная плита, бронеплита керамическая, бронеплита баллистическая, плита защиты тела, бронеплита уровень защиты, плита бронежилета вставка";"бронеплита, плита бронежилета, захисна плита, бронеплита керамічна, бронеплита балістична, плита захисту тіла, бронеплита рівень захисту, плита бронежилета вставка";бронеплита;бронеплита;Виробник
502;3082002;https://prom.ua/Razgruzochnye-zhilety;;"плитоноска бронежилет, плитоноска тактическая, жилет под бронеплиты, разгрузочный жилет плитоноска, плитоноска военная, жилет защитный, плитоноска с карманами, плитоноска для защиты";"плитоноска бронежилет, плитоноска тактична, жилет під бронеплити, розвантажувальний жилет плитоноска, плитоноска військова, жилет захисний, плитоноска з кишенями, плитоноска для захисту";плитоноска;плитоноска;Виробник
503;240455;https://prom.ua/ua/Navesnye-podsumki;Навісні підсумки;"подсумки навесные, подсумки тактические, подсумки molle, подсумок для снаряжения, подсумок на разгрузку, подсумок универсальный, подсумок армейский, подсумок для экипировки, подсумок крепление molle, подсумок военный";"підсумки навісні, підсумки тактичні, підсумки molle, підсумок для спорядження, підсумок на розвантаження, підсумок універсальний, підсумок армійський, підсумок для екіпірування, підсумок кріплення molle, підсумок військовий";подсумки тактические;підсумки тактичні;"Виробник, Тип устройства"
504;180303;https://prom.ua/ua/Maskirovka-dlya-ohoty;Термотент від тепловізора;"термотент от тепловизора, укрытие от тепловизора, маскировочный термотент, защита от тепловизора, термопокрытие маскировочное, укрытие тепловизионное, маскировка от тепловизора, термозащита укрытие, тент маскировочный, защита тепловизор";"термотент від тепловізора, укриття від тепловізора, маскувальний термотент, захист від тепловізора, термопокриття маскувальне, укриття тепловізійне, маскування від тепловізора, термозахист укриття, тент маскувальний, захист тепловізор";термотент от тепловизора;термотент від тепловізора;"Виробник, Тип устройства"
505;240405;https://prom.ua/ua/Kovriki-turisticheskie;Каремат;"каремат, коврик туристический, коврик походный, коврик для сна, коврик складной, коврик пенка, коврик для кемпинга, коврик туристический складной, коврик универсальный, коврик для отдыха";"каремат, килимок туристичний, килимок похідний, килимок для сну, килимок складний, килимок пінка, килимок для кемпінгу, килимок туристичний складний, килимок універсальний, килимок для відпочинку";каремат;каремат;"Виробник, Тип устройства"
506;4050702;https://prom.ua/ua/Kovry-iz-sinteticheskih-materialov-;Килимок тактичний;"тактический коврик, коврик тактический складной, коврик военный, коврик для снаряжения, коврик походный тактический, коврик армейский, коврик защитный, коврик универсальный, коврик для отдыха, коврик компактный";"килимок тактичний, килимок тактичний складний, килимок військовий, килимок для спорядження, килимок похідний тактичний, килимок армійський, килимок захисний, килимок універсальний, килимок для відпочинку, килимок компактний";тактический коврик;килимок тактичний;"Виробник, Тип устройства"
507;152401;https://prom.ua/ua/Armejskie-spetssumki-i-ryukzaki;Рюкзак тактичний;"тактический рюкзак, рюкзак военный, рюкзак molle, рюкзак для снаряжения, рюкзак армейский, рюкзак походный, рюкзак универсальный, рюкзак для экипировки, рюкзак прочный, рюкзак туристический";"тактичний рюкзак, рюкзак військовий, рюкзак molle, рюкзак для спорядження, рюкзак армійський, рюкзак похідний, рюкзак універсальний, рюкзак для екіпірування, рюкзак міцний, рюкзак туристичний";тактический рюкзак;тактичний рюкзак;"Виробник, Тип устройства"
508;33915;https://prom.ua/ua/Dozhdeviki;Дощовик камуфляж;"дождевик камуфляж, плащ камуфляж, пончо камуфляж, дождевик защитный, дождевик для похода, дождевик военный, дождевик универсальный, дождевик водонепроницаемый, дождевик для природы, дождевик туристический";"дощовик камуфляж, плащ камуфляж, пончо камуфляж, дощовик захисний, дощовик для походу, дощовик військовий, дощовик універсальний, дощовик водонепроникний, дощовик для природи, дощовик туристичний";дождевик камуфляж;дощовик камуфляж;"Виробник, Тип устройства"
509;30807;https://prom.ua/ua/Voennaya-forma;Костюм камуфляж;"костюм камуфляж, костюм военный, костюм тактический, костюм армейский, костюм для охоты, костюм защитный, костюм маскировочный, костюм для природы, костюм универсальный, костюм прочный";"костюм камуфляж, костюм військовий, костюм тактичний, костюм армійський, костюм для полювання, костюм захисний, костюм маскувальний, костюм для природи, костюм універсальний, костюм міцний";костюм камуфляж;костюм камуфляж;"Виробник, Тип устройства"
510;300503;https://prom.ua/Shlemy-broneshlemy-i-kaski;;"шлем защитный, каска тактическая, шлем военный, каска строительная, шлем безопасности, шлем защитный аксессуары, каска защитная, шлем экипировки";"шолом захисний, каска тактична, шолом військовий, каска будівельна, шолом безпеки, шолом захисний аксесуари, каска захисна, шолом екіпірування";шлем;шолом;Виробник
511;301915;https://prom.ua/Sredstva-zaschity-organov-sluha;Тактичні навушники;"тактические наушники, наушники стрелковые, наушники активные, наушники для стрельбы, наушники шумоподавление, наушники защита слуха, наушники электронные, наушники для тира, наушники военные, наушники защитные";"тактичні навушники, навушники стрілецькі, навушники активні, навушники для стрільби, навушники шумоприглушення, навушники захист слуху, навушники електронні, навушники для тиру, навушники військові, навушники захисні";тактические наушники;тактичні навушники;"Виробник, Тип устройства"
512;181301;https://prom.ua/Ochki-takticheskie;Тактичні окуляри;"тактические очки, очки баллистические, очки стрелковые, очки защитные тактические, очки для стрельбы, очки военные, очки защита глаз, очки антиосколочные, очки полевые, очки tactical";"тактичні окуляри, окуляри балістичні, окуляри стрілецькі, окуляри захисні тактичні, окуляри для стрільби, окуляри військові, окуляри захист очей, окуляри протиосколкові, окуляри польові, окуляри tactical";тактические очки;тактичні окуляри;"Виробник, Тип устройства"
513;182202;https://prom.ua/Takticheskie-perchatki;Тактичні рукавиці;"тактические перчатки, перчатки военные, перчатки стрелковые, перчатки защитные тактические, перчатки для стрельбы, перчатки армейские, перчатки с защитой, перчатки усиленные, перчатки tactical, перчатки для работы тактические";"тактичні рукавиці, рукавиці військові, рукавиці стрілецькі, рукавиці захисні тактичні, рукавиці для стрільби, рукавиці армійські, рукавиці з захистом, рукавиці посилені, рукавиці tactical, рукавиці для роботи тактичні";тактические перчатки;тактичні рукавиці;"Виробник, Тип устройства"
514;300508;https://prom.ua/Aksessuary-komplektuyuschie-ekipirovke;Чохол на тактичний шолом;"чехол на тактический шлем, кавер для шлема, чехол шлем военный, чехол защитный шлема, чехол для каски, чехол helmet cover, чехол камуфляжный шлем, чехол для баллистического шлема, чехол армейский шлем, чехол тактический шлем";"чохол на тактичний шолом, кавер для шолома, чохол шолом військовий, чохол захисний шолома, чохол для каски, чохол helmet cover, чохол камуфляжний шолом, чохол для балістичного шолома, чохол армійський шолом, чохол тактичний шолом";чехол на тактический шлем;чохол на тактичний шолом;"Виробник, Тип устройства"
515;150410;https://prom.ua/Fonariki-;;"фонарь светодиодный, фонарик ручной, фонарь аккумуляторный, фонарь налобный, фонарь мощный, фонарь тактический, фонарь для дома, фонарь переносной";"ліхтар світлодіодний, ліхтарик ручний, ліхтар акумуляторний, ліхтар налобний, ліхтар потужний, ліхтар тактичний, ліхтар для дому, ліхтар переносний";фонарь;ліхтар;Виробник
516;14200394;https://prom.ua/Multituly;;"мультитул нож, мультитул инструмент, нож складной, нож туристический, мультитул карманный, нож многофункциональный, мультитул для выживания, нож инструмент";"мультитул ніж, мультитул інструмент, ніж складаний, ніж туристичний, мультитул кишеньковий, ніж багатофункціональний, мультитул для виживання, ніж інструмент";мультитул;мультитул;Виробник
517;15230303;https://prom.ua/ua/Nabory-kuhonnoj-posudy;Набір для готування;"набор для готовки, туристический набор для готовки, набор посуды походный, комплект для приготовления еды, набор для кемпинга кухня, посуда туристическая набор, набор для приготовления на природе, набор кухонный походный, комплект для готовки, набор для пикника";"набір для готування, туристичний набір для готування, набір посуду похідний, комплект для приготування їжі, набір для кемпінгу кухня, посуд туристичний набір, набір для приготування на природі, набір кухонний похідний, комплект для готування, набір для пікніка";набор для готовки;набір для готування;"Виробник, Тип устройства"
518;2010;https://prom.ua/ua/Matratsy-naduvnye;Надувний матрац;"надувной матрас, матрас туристический надувной, матрас для кемпинга, матрас для сна, матрас походный, матрас универсальный, матрас для отдыха, матрас компактный, матрас складной, матрас для дома и природы";"надувний матрац, матрац туристичний надувний, матрац для кемпінгу, матрац для сну, матрац похідний, матрац універсальний, матрац для відпочинку, матрац компактний, матрац складний, матрац для дому і природи";надувной матрас;надувний матрац;"Виробник, Тип устройства"
519;1531;https://prom.ua/ua/Termosy;Термос;"термос, термос для чая, термос для кофе, термос туристический, термос металлический, термос для еды, термос походный, термос универсальный, термос для путешествий, термос вакуумный";"термос, термос для чаю, термос для кави, термос туристичний, термос металевий, термос для їжі, термос похідний, термос універсальний, термос для подорожей, термос вакуумний";термос;термос;"Виробник, Тип устройства"
520;240405;https://prom.ua/ua/Kovriki-turisticheskie;Сидушка;"сидушка туристическая, сиденье походное, коврик сидушка, сидушка для кемпинга, сиденье складное, сидушка универсальная, сиденье для отдыха, сидушка компактная, сиденье для природы, сидушка мягкая";"сидушка туристична, сидіння похідне, килимок сидушка, сидушка для кемпінгу, сидіння складне, сидушка універсальна, сидіння для відпочинку, сидушка компактна, сидіння для природи, сидушка м'яка";сидушка туристическая;сидушка туристична;"Виробник, Тип устройства"
521;14201602;https://prom.ua/ua/Lopaty;Лопата;"лопата, лопата туристическая, лопата складная, лопата для копки, лопата универсальная, лопата походная, лопата для земли, лопата компактная, лопата для природы, лопата инструмент";"лопата, лопата туристична, лопата складна, лопата для копання, лопата універсальна, лопата похідна, лопата для землі, лопата компактна, лопата для природи, лопата інструмент";лопата;лопата;"Виробник, Тип устройства"
522;15230313;https://prom.ua/ua/Prinadlezhnosti-dlya-grilya;Набір для барбекю;"набор для барбекю, набор для гриля, комплект для барбекю, набор для шашлыка, инструменты для гриля, набор для приготовления на гриле, комплект для пикника барбекю, набор для мангала, набор универсальный гриль, набор аксессуаров барбекю";"набір для барбекю, набір для гриля, комплект для барбекю, набір для шашлику, інструменти для гриля, набір для приготування на грилі, комплект для пікніка барбекю, набір для мангала, набір універсальний гриль, набір аксесуарів барбекю";набор для барбекю;набір для барбекю;"Виробник, Тип устройства"
523;602;https://prom.ua/ua/Holodilniki;Холодильник;"холодильник переносной, холодильник туристический, автохолодильник, холодильник для кемпинга, холодильник компактный, холодильник для поездок, холодильник универсальный, холодильник переносной электрический, холодильник дорожный, холодильник бытовой";"холодильник переносний, холодильник туристичний, автохолодильник, холодильник для кемпінгу, холодильник компактний, холодильник для поїздок, холодильник універсальний, холодильник переносний електричний, холодильник дорожній, холодильник побутовий";холодильник переносной;холодильник переносний;"Виробник, Тип устройства"
